clean_name,Voto,Fantavoto,Giornata
calabresi,6.0,6.0,1
canestrelli,6.5,6.5,1
angori,7.0,7.0,1
denoon,5.5,5.5,1
tramoni m,6.0,6.0,1
aebischer,5.5,5.5,1
akinsanmiro,6.0,6.0,1
piccinini g,6.0,6.0,1
tourè i,7.0,7.0,1
marin m,6.0,6.0,1
nzola,6.0,6.0,1
moreo,6.5,6.5,1
meister,6.0,6.0,1
gilardino,6.5,6.5,1
svilar,6.0,6.0,1
mancini,6.5,6.0,1
ndicka,6.5,6.5,1
angelino,6.0,6.0,1
hermoso,6.5,6.5,1
wesley,7.0,10.0,1
cristante,6.5,6.5,1
el shaarawy,6.0,6.0,1
konè m,6.5,6.5,1
el aynaoui,6.0,6.0,1
dybala,6.5,6.5,1
soulè,5.0,5.0,1
ferguson e,6.5,6.5,1
dovbyk,5.5,5.5,1
gasperini,6.5,6.5,1
turati,5.5,3.5,1
romagna,5.0,5.0,1
walukiewicz,5.5,5.5,1
doig,6.0,6.0,1
muharemovic,5.5,5.5,1
boloca,6.0,6.0,1
lipani,5.5,5.5,1
konè i,4.5,3.5,1
fadera,6.0,6.0,1
berardi,6.0,5.5,1
pinamonti,5.0,5.0,1
laurientè,5.5,5.5,1
grosso,5.0,5.0,1
israel,5.0,0.0,1
masina,4.5,4.5,1
biraghi,4.5,4.5,1
lazaro,5.0,5.0,1
coco,4.5,4.5,1
tameze,5.0,5.0,1
vlasic,5.5,5.5,1
casadei,5.5,5.5,1
ilkhan,5.0,5.0,1
gineitis,4.0,4.0,1
simeone,5.0,5.0,1
ngonge,5.0,5.0,1
adams c,5.5,5.5,1
aboukhlal,5.5,5.5,1
baroni,4.0,4.0,1
sava,6.0,5.0,1
kamara h,6.0,6.0,1
bertola,6.0,5.5,1
ehizibue,5.5,5.5,1
zemura,5.5,5.5,1
kristensen t,7.0,10.0,1
solet,5.5,5.5,1
lovric,6.5,7.5,1
zarraga,6.0,6.0,1
karlstrom,6.0,6.0,1
atta,6.5,6.5,1
piotrowski,5.5,5.5,1
davis k,5.5,5.0,1
bravo,6.0,5.5,1
bayo v,5.5,5.5,1
runjaic,6.0,6.0,1
montipò,6.0,5.0,1
bradaric,6.0,6.0,1
frese,5.0,5.0,1
unai nunez,5.5,5.5,1
